id,model_type,model_family,model_name,ckpt_file,url,autoencoder,clip_encoder,image_encoder,t5_encoder,full_json
113,model,wan_v2.1_14b,Wan 2.1 14B Fun InP,wan_2.1_14b_fun_inp_q8p.ckpt,"",wan_v2.1_video_vae_f16.ckpt,open_clip_xlm_roberta_large_vit_h14_f16.ckpt,"","","{""name"":""Wan 2.1 14B Fun InP"",""version"":""wan_v2.1_14b"",""modifier"":""inpainting"",""autoencoder"":""wan_v2.1_video_vae_f16.ckpt"",""prefix"":"""",""default_scale"":12,""hires_fix_scale"":16,""file"":""wan_2.1_14b_fun_inp_q8p.ckpt"",""upcast_attention"":false,""text_encoder"":""umt5_xxl_encoder_q8p.ckpt"",""clip_encoder"":""open_clip_xlm_roberta_large_vit_h14_f16.ckpt"",""high_precision_autoencoder"":false,""objective"":{""u"":{""condition_scale"":1000}},""frames_per_second"":16,""tea_cache_coefficients"":[8107.0546,2133.93892,-372.934672,16.6203073,-0.0417769401],""note"":""[Wan2.1 14B Fun InP](https://huggingface.co/alibaba-pai/Wan2.1-Fun-14B-InP) is a state-of-the-art image-to-video model developed by Alibaba PAI. It can generate video clips of up to 4 seconds in length. The model is trained at multiple resolutions, supports up to 81 frames, with a recommended shift value of 5.0. Text Guidance should be somewhere between 3 to 7. Wan2.1 is trained with Flow Matching objective, Trailing samplers would give the best result."",""converted"":{""wan_v2.1_video_vae_f16.ckpt"":""4c518b128b3c1f2ea164aa46269d8875b4be3661d1fc0fba2709d03fa94e418b"",""umt5_xxl_encoder_q8p.ckpt"":""72ef62d22c09a3b764ac9e6fe0100f4029619fb3ff8ccec3432e509487b29831"",""open_clip_xlm_roberta_large_vit_h14_f16.ckpt"":""362c9940a36acce5a4e13b9167d5daebd005ac026443cd37b7955ac0acd72083"",""wan_2.1_14b_fun_inp_q6p_svd.ckpt"":""9b9fddfc2621e2a964fb166ba6e18e378b24a45d182d29791ca69d6ab4d7fd1a"",""wan_2.1_14b_fun_inp_q8p.ckpt"":""7d0709e577249a20dbbab573be66e122dd598a46fdba0b81188469806118609d""}}"
114,model,wan_v2.1_14b,Wan 2.1 14B I2V FusionX,wan_2.1_14b_i2v_fusionx_q8p.ckpt,"",wan_v2.1_video_vae_f16.ckpt,open_clip_xlm_roberta_large_vit_h14_f16.ckpt,"","","{""name"":""Wan 2.1 14B I2V FusionX"",""version"":""wan_v2.1_14b"",""modifier"":""inpainting"",""autoencoder"":""wan_v2.1_video_vae_f16.ckpt"",""prefix"":"""",""default_scale"":12,""hires_fix_scale"":16,""file"":""wan_2.1_14b_i2v_fusionx_q8p.ckpt"",""upcast_attention"":false,""text_encoder"":""umt5_xxl_encoder_q8p.ckpt"",""clip_encoder"":""open_clip_xlm_roberta_large_vit_h14_f16.ckpt"",""high_precision_autoencoder"":false,""objective"":{""u"":{""condition_scale"":1000}},""frames_per_second"":16,""tea_cache_coefficients"":[8107.0546,2133.93892,-372.934672,16.6203073,-0.0417769401],""note"":""[Wan2.1 14B FusionX](https://huggingface.co/vrgamedevgirl84/Wan14BT2VFusioniX) is a merged model of multiple quality and acceleration LoRAs."",""converted"":{""wan_2.1_14b_i2v_fusionx_q6p_svd.ckpt"":""7f9189c60308386f1ab711db7a60d8c99296cd5fd20e0937bfbe7d7fbe8f1ac4"",""wan_2.1_14b_i2v_fusionx_q8p.ckpt"":""4f9a4bdc48ebaaffa098879ddc26f9f15bc76393ed49a89a9018d597fa0e7afa""}}"
115,model,wan_v2.1_14b,Wan 2.1 14B T2V FusionX,wan_2.1_14b_t2v_fusionx_q8p.ckpt,"",wan_v2.1_video_vae_f16.ckpt,"","","","{""name"":""Wan 2.1 14B T2V FusionX"",""version"":""wan_v2.1_14b"",""autoencoder"":""wan_v2.1_video_vae_f16.ckpt"",""prefix"":"""",""default_scale"":12,""hires_fix_scale"":16,""file"":""wan_2.1_14b_t2v_fusionx_q8p.ckpt"",""upcast_attention"":false,""text_encoder"":""umt5_xxl_encoder_q8p.ckpt"",""high_precision_autoencoder"":false,""objective"":{""u"":{""condition_scale"":1000}},""frames_per_second"":16,""tea_cache_coefficients"":[-303318.725,49053.7029,-2655.30556,58.7365115,-0.315583525],""note"":""[Wan2.1 14B FusionX](https://huggingface.co/vrgamedevgirl84/Wan14BT2VFusioniX) is a merged model of multiple quality and acceleration LoRAs."",""converted"":{""wan_2.1_14b_t2v_fusionx_q6p_svd.ckpt"":""e2b8411e2ad903804d67d9000cf7485a0f16698d4ead061b8da2ef76dd8ee06d"",""wan_2.1_14b_t2v_fusionx_q8p.ckpt"":""5bd700aee3467e4708e7d9ef72fbf580e66f6ae22b027af2c1c3f34f292d9781""}}"
116,model,wan_v2.1_14b,Wan 2.1 14B v1.1 Fun InP,wan_2.1_14b_v1.1_fun_inp_q8p.ckpt,"",wan_v2.1_video_vae_f16.ckpt,open_clip_xlm_roberta_large_vit_h14_f16.ckpt,"","","{""name"":""Wan 2.1 14B v1.1 Fun InP"",""version"":""wan_v2.1_14b"",""modifier"":""inpainting"",""autoencoder"":""wan_v2.1_video_vae_f16.ckpt"",""prefix"":"""",""default_scale"":12,""hires_fix_scale"":16,""file"":""wan_2.1_14b_v1.1_fun_inp_q8p.ckpt"",""upcast_attention"":false,""text_encoder"":""umt5_xxl_encoder_q8p.ckpt"",""clip_encoder"":""open_clip_xlm_roberta_large_vit_h14_f16.ckpt"",""high_precision_autoencoder"":false,""objective"":{""u"":{""condition_scale"":1000}},""frames_per_second"":16,""tea_cache_coefficients"":[8107.0546,2133.93892,-372.934672,16.6203073,-0.0417769401],""note"":""[Wan2.1 14B v1.1 Fun InP](https://huggingface.co/alibaba-pai/Wan2.1-Fun-V1.1-14B-InP) is a state-of-the-art image-to-video model developed by Alibaba PAI. It can generate video clips of up to 4 seconds in length. The model is trained at multiple resolutions, supports up to 81 frames, with a recommended shift value of 5.0. Text Guidance should be somewhere between 3 to 7. Wan2.1 is trained with Flow Matching objective, Trailing samplers would give the best result."",""converted"":{""wan_v2.1_video_vae_f16.ckpt"":""4c518b128b3c1f2ea164aa46269d8875b4be3661d1fc0fba2709d03fa94e418b"",""umt5_xxl_encoder_q8p.ckpt"":""72ef62d22c09a3b764ac9e6fe0100f4029619fb3ff8ccec3432e509487b29831"",""open_clip_xlm_roberta_large_vit_h14_f16.ckpt"":""362c9940a36acce5a4e13b9167d5daebd005ac026443cd37b7955ac0acd72083"",""wan_2.1_14b_v1.1_fun_inp_q6p_svd.ckpt"":""7e6c71bf0d927a9b1587c3fba8e9633c31dcd3ef43a9405cbf70240e7a8fcb44"",""wan_2.1_14b_v1.1_fun_inp_q8p.ckpt"":""e6d98deb33b959fb006cdcb94b7b2d3d05999a88948451e5dce75250a4f028b6""}}"
117,model,wan_v2.1_14b,Wan v2.2 High Noise Expert I2V A14B,wan_v2.2_a14b_hne_i2v_q8p.ckpt,"",wan_v2.1_video_vae_f16.ckpt,"","","","{""name"":""Wan v2.2 High Noise Expert I2V A14B"",""version"":""wan_v2.1_14b"",""autoencoder"":""wan_v2.1_video_vae_f16.ckpt"",""prefix"":"""",""default_scale"":12,""hires_fix_scale"":16,""file"":""wan_v2.2_a14b_hne_i2v_q8p.ckpt"",""upcast_attention"":false,""text_encoder"":""umt5_xxl_encoder_q8p.ckpt"",""high_precision_autoencoder"":false,""objective"":{""u"":{""condition_scale"":1000}},""modifier"":""inpainting"",""frames_per_second"":16,""tea_cache_coefficients"":[257151.496,-35422.9917,1402.86849,-13.5890334,0.132517977],""note"":""[Wan2.2 I2V A14B](https://huggingface.co/Wan-AI/Wan2.2-I2V-A14B) is a state-of-the-art image-to-video model developed by Alibaba. It can generate video clips of up to 4 seconds in length from a given start frame. The recommended resolutions are 1280×720. The model supports up to 81 frames, with a recommended shift value of 5.0."",""converted"":{""wan_v2.1_video_vae_f16.ckpt"":""4c518b128b3c1f2ea164aa46269d8875b4be3661d1fc0fba2709d03fa94e418b"",""umt5_xxl_encoder_q8p.ckpt"":""72ef62d22c09a3b764ac9e6fe0100f4029619fb3ff8ccec3432e509487b29831"",""wan_v2.2_a14b_hne_i2v_q8p.ckpt"":""bf44ed82e723cf3f2469c9a89fd5a98296c924d489b883e7dadef4c122ad295d""}}"
118,model,wan_v2.1_14b,Wan v2.2 High Noise Expert T2V A14B,wan_v2.2_a14b_hne_t2v_q8p.ckpt,"",wan_v2.1_video_vae_f16.ckpt,"","","","{""name"":""Wan v2.2 High Noise Expert T2V A14B"",""version"":""wan_v2.1_14b"",""autoencoder"":""wan_v2.1_video_vae_f16.ckpt"",""prefix"":"""",""default_scale"":12,""hires_fix_scale"":16,""file"":""wan_v2.2_a14b_hne_t2v_q8p.ckpt"",""upcast_attention"":false,""text_encoder"":""umt5_xxl_encoder_q8p.ckpt"",""high_precision_autoencoder"":false,""objective"":{""u"":{""condition_scale"":1000}},""frames_per_second"":16,""tea_cache_coefficients"":[-303318.725,49053.7029,-2655.30556,58.7365115,-0.315583525],""note"":""[Wan2.2 T2V A14B](https://huggingface.co/Wan-AI/Wan2.2-T2V-A14B) is a state-of-the-art text-to-video model developed by Alibaba. It can generate video clips of up to 4 seconds in length. The recommended resolutions are 1280×720. The model supports up to 81 frames, with a recommended shift value of 5.0."",""converted"":{""wan_v2.1_video_vae_f16.ckpt"":""4c518b128b3c1f2ea164aa46269d8875b4be3661d1fc0fba2709d03fa94e418b"",""umt5_xxl_encoder_q8p.ckpt"":""72ef62d22c09a3b764ac9e6fe0100f4029619fb3ff8ccec3432e509487b29831"",""wan_v2.2_a14b_hne_t2v_q8p.ckpt"":""63b3dc2eaac38d1019017c4745ea763e9894b5aa55a97fb52dfe26985abc42e6""}}"
119,model,wan_v2.1_14b,Wan v2.2 High Noise Expert T2V A14B Lightning 250928,wan_v2.2_a14b_hne_t2v_lightning_250928_q8p.ckpt,"",wan_v2.1_video_vae_f16.ckpt,"","","","{""name"":""Wan v2.2 High Noise Expert T2V A14B Lightning 250928"",""version"":""wan_v2.1_14b"",""autoencoder"":""wan_v2.1_video_vae_f16.ckpt"",""prefix"":"""",""default_scale"":12,""hires_fix_scale"":16,""file"":""wan_v2.2_a14b_hne_t2v_lightning_250928_q8p.ckpt"",""upcast_attention"":false,""text_encoder"":""umt5_xxl_encoder_q8p.ckpt"",""high_precision_autoencoder"":false,""objective"":{""u"":{""condition_scale"":1000}},""frames_per_second"":16,""tea_cache_coefficients"":[-303318.725,49053.7029,-2655.30556,58.7365115,-0.315583525],""note"":""[Wan2.2 High Noise Expert T2V A14B Lightning 250928](https://huggingface.co/lightx2v/Wan2.2-Lightning/tree/main/Wan2.2-T2V-A14B-4steps-250928-dyno) is a fine-tune of Wan v2.2 High Noise Expert model. It can generate more dynamic motions with 4 steps and text guidance 1.0."",""converted"":{""wan_v2.1_video_vae_f16.ckpt"":""4c518b128b3c1f2ea164aa46269d8875b4be3661d1fc0fba2709d03fa94e418b"",""umt5_xxl_encoder_q8p.ckpt"":""72ef62d22c09a3b764ac9e6fe0100f4029619fb3ff8ccec3432e509487b29831"",""wan_v2.2_a14b_hne_t2v_lightning_250928_q6p_svd.ckpt"":""3ab1a557ebbcf4abfce73e7a317048522db84a157cfcb3dbda5e7a094455b1ed"",""wan_v2.2_a14b_hne_t2v_lightning_250928_q8p.ckpt"":""83e55da6d37e91016de26b8b53b9a1bafdd792fe2abb16000508a2ec1f3c0eb5""}}"
120,model,wan_v2.1_14b,Wan v2.2 Low Noise Expert I2V A14B,wan_v2.2_a14b_lne_i2v_q8p.ckpt,"",wan_v2.1_video_vae_f16.ckpt,"","","","{""name"":""Wan v2.2 Low Noise Expert I2V A14B"",""version"":""wan_v2.1_14b"",""autoencoder"":""wan_v2.1_video_vae_f16.ckpt"",""prefix"":"""",""default_scale"":12,""hires_fix_scale"":16,""file"":""wan_v2.2_a14b_lne_i2v_q8p.ckpt"",""upcast_attention"":false,""text_encoder"":""umt5_xxl_encoder_q8p.ckpt"",""high_precision_autoencoder"":false,""objective"":{""u"":{""condition_scale"":1000}},""modifier"":""inpainting"",""frames_per_second"":16,""tea_cache_coefficients"":[257151.496,-35422.9917,1402.86849,-13.5890334,0.132517977],""note"":""[Wan2.2 I2V A14B](https://huggingface.co/Wan-AI/Wan2.2-I2V-A14B) is a state-of-the-art image-to-video model developed by Alibaba. It can generate video clips of up to 4 seconds in length from a given start frame. The recommended resolutions are 1280×720. The model supports up to 81 frames, with a recommended shift value of 5.0."",""converted"":{""wan_v2.1_video_vae_f16.ckpt"":""4c518b128b3c1f2ea164aa46269d8875b4be3661d1fc0fba2709d03fa94e418b"",""umt5_xxl_encoder_q8p.ckpt"":""72ef62d22c09a3b764ac9e6fe0100f4029619fb3ff8ccec3432e509487b29831"",""wan_v2.2_a14b_lne_i2v_q8p.ckpt"":""51486a592ba0190c333ba4e071aa9ed2b502c8aa5b79cb5d38325e399ac6c129""}}"
121,model,wan_v2.1_14b,Wan v2.2 Low Noise Expert T2V A14B,wan_v2.2_a14b_lne_t2v_q8p.ckpt,"",wan_v2.1_video_vae_f16.ckpt,"","","","{""name"":""Wan v2.2 Low Noise Expert T2V A14B"",""version"":""wan_v2.1_14b"",""autoencoder"":""wan_v2.1_video_vae_f16.ckpt"",""prefix"":"""",""default_scale"":12,""hires_fix_scale"":16,""file"":""wan_v2.2_a14b_lne_t2v_q8p.ckpt"",""upcast_attention"":false,""text_encoder"":""umt5_xxl_encoder_q8p.ckpt"",""high_precision_autoencoder"":false,""objective"":{""u"":{""condition_scale"":1000}},""frames_per_second"":16,""tea_cache_coefficients"":[-303318.725,49053.7029,-2655.30556,58.7365115,-0.315583525],""note"":""[Wan2.2 T2V A14B](https://huggingface.co/Wan-AI/Wan2.2-T2V-A14B) is a state-of-the-art text-to-video model developed by Alibaba. It can generate video clips of up to 4 seconds in length. The recommended resolutions are 1280×720. The model supports up to 81 frames, with a recommended shift value of 5.0."",""converted"":{""wan_v2.1_video_vae_f16.ckpt"":""4c518b128b3c1f2ea164aa46269d8875b4be3661d1fc0fba2709d03fa94e418b"",""umt5_xxl_encoder_q8p.ckpt"":""72ef62d22c09a3b764ac9e6fe0100f4029619fb3ff8ccec3432e509487b29831"",""wan_v2.2_a14b_lne_t2v_q8p.ckpt"":""5fe77d9998141a667071353658d71acef656389210327391c832d39b4ee39671""}}"
122,lora,flux1,360 Degree [dev],360_degree__dev__lora_f16.ckpt,https://civitai-delivery-worker-prod.5ac0637cfd0766c97916cefa3764fbdf.r2.cloudflarestorage.com/model/59440/360hdr.EGSp.safetensors?X-Amz-Expires=86400&response-content-disposition=attachment%3B%20filename%3D%22360HDR.safetensors%22&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=e01358d793ad6966166af8b3064953ad/20240908/us-east-1/s3/aws4_request&X-Amz-Date=20240908T054814Z&X-Amz-SignedHeaders=host&X-Amz-Signature=9db9405a32d511c23a311694bbb3d0aa116bcad2ebb883159821bb1503d73e05,"","","","","{""download"":{""file"":""https://civitai-delivery-worker-prod.5ac0637cfd0766c97916cefa3764fbdf.r2.cloudflarestorage.com/model/59440/360hdr.EGSp.safetensors?X-Amz-Expires=86400&response-content-disposition=attachment%3B%20filename%3D%22360HDR.safetensors%22&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=e01358d793ad6966166af8b3064953ad/20240908/us-east-1/s3/aws4_request&X-Amz-Date=20240908T054814Z&X-Amz-SignedHeaders=host&X-Amz-Signature=9db9405a32d511c23a311694bbb3d0aa116bcad2ebb883159821bb1503d73e05""},""name"":""360 Degree [dev]"",""prefix"":"""",""is_lo_ha"":false,""version"":""flux1"",""file"":""360_degree__dev__lora_f16.ckpt"",""converted"":{""360_degree__dev__lora_f16.ckpt"":""04c6c1639b73ca1f7fc5c95dbd2147327c2bddf0c1fbb6530d9562410d28f266""}}"
123,lora,flux1,ACE++: Local Editing,ace____local_editing_lora_f16.ckpt,https://huggingface.co/ali-vilab/ACE_Plus/resolve/main/local_editing/comfyui_local_lora16.safetensors,"","","","","{""download"":{""file"":""https://huggingface.co/ali-vilab/ACE_Plus/resolve/main/local_editing/comfyui_local_lora16.safetensors""},""name"":""ACE++: Local Editing"",""prefix"":"""",""is_lo_ha"":false,""version"":""flux1"",""file"":""ace____local_editing_lora_f16.ckpt"",""weight"":{""value"":1,""lower_bound"":-1.5,""upper_bound"":2.5},""note"":""[ACE++](https://huggingface.co/ali-vilab/ACE_Plus) is an effective transfer method that fine-tunes FLUX.1 Fill [dev] model. This LoRA enables sketch-to-image for the masked area."",""converted"":{""ace____local_editing_lora_f16.ckpt"":""904ad1a7f254c0bd7cb0df0439522670fb0785c964bd84b0828f6d7a061b20eb""}}"
124,lora,flux1,ACE++: Portrait,ace____portrait_lora_f16.ckpt,https://huggingface.co/ali-vilab/ACE_Plus/resolve/main/portrait/comfyui_portrait_lora64.safetensors,"","","","","{""download"":{""file"":""https://huggingface.co/ali-vilab/ACE_Plus/resolve/main/portrait/comfyui_portrait_lora64.safetensors""},""name"":""ACE++: Portrait"",""prefix"":"""",""is_lo_ha"":false,""version"":""flux1"",""file"":""ace____portrait_lora_f16.ckpt"",""weight"":{""value"":1,""lower_bound"":-1.5,""upper_bound"":2.5},""note"":""[ACE++](https://huggingface.co/ali-vilab/ACE_Plus) is an effective transfer method that fine-tunes FLUX.1 Fill [dev] model. The reference image is placed on the left, while the right side is either the image to edit or left blank. The model uses the left-side reference image during generation. This LoRA enables the transfer of a person's identity to a new image."",""converted"":{""ace____portrait_lora_f16.ckpt"":""7ea5def4f9a2fbe7a66656952421eb47db89b67e2ec527e9418a4a153762e4ae""}}"
125,lora,flux1,ACE++: Subject,ace____subject_lora_f16.ckpt,https://huggingface.co/ali-vilab/ACE_Plus/resolve/main/subject/comfyui_subject_lora16.safetensors,"","","","","{""download"":{""file"":""https://huggingface.co/ali-vilab/ACE_Plus/resolve/main/subject/comfyui_subject_lora16.safetensors""},""name"":""ACE++: Subject"",""prefix"":"""",""is_lo_ha"":false,""version"":""flux1"",""file"":""ace____subject_lora_f16.ckpt"",""weight"":{""value"":1,""lower_bound"":-1.5,""upper_bound"":2.5},""note"":""[ACE++](https://huggingface.co/ali-vilab/ACE_Plus) is an effective transfer method that fine-tunes FLUX.1 Fill [dev] model. The reference image is placed on the left, while the right side is either the image to edit or left blank. The model uses the left-side reference image during generation. This LoRA enables the transfer of a subject (such as a logo) to a new image."",""converted"":{""ace____subject_lora_f16.ckpt"":""7b3b83825df6c8733399554e613ba784f5d107558bde1267ea885b9442ba0f89""}}"
126,lora,v1,Adam's Artwork Style v.1,adams_artwork_style_v0.1_lora_f16.ckpt,"","","","","","{""name"":""Adam's Artwork Style v.1"",""file"":""adams_artwork_style_v0.1_lora_f16.ckpt"",""prefix"":""ajaws "",""version"":""v1"",""converted"":{""adams_artwork_style_v0.1_lora_f16.ckpt"":""17590d5d9977c64164cd78da00f4728791fd7ce7d4979e74438066d1c9134665""}}"
127,lora,sdxl_base_v0.9,Age Slider,age_slider_lora_f16.ckpt,https://civitai.com/api/download/models/268828,"","","","","{""download"":{""file"":""https://civitai.com/api/download/models/268828""},""name"":""Age Slider"",""prefix"":"""",""is_lo_ha"":false,""version"":""sdxl_base_v0.9"",""file"":""age_slider_lora_f16.ckpt"",""converted"":{""age_slider_lora_f16.ckpt"":""4e31b47eb477006fff9ab8ea6e86aebd366776d8d3263a223899bda5e6e6249e""}}"
128,lora,flux1,Amateur Photography v3.5 [dev],amateur_photography_v3.5__dev__lora_f16.ckpt,https://civitai-delivery-worker-prod.5ac0637cfd0766c97916cefa3764fbdf.r2.cloudflarestorage.com/model/2580965/amateurphotoV35.HAvj.safetensors?X-Amz-Expires=86400&response-content-disposition=attachment%3B%20filename%3D%22amateurphoto-v3.5-000052.safetensors%22&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=e01358d793ad6966166af8b3064953ad/20240908/us-east-1/s3/aws4_request&X-Amz-Date=20240908T054946Z&X-Amz-SignedHeaders=host&X-Amz-Signature=20c82ac7b7c2c1294b286b58354b1a21a08e2df063f346c495393ee49e71139a,"","","","","{""download"":{""file"":""https://civitai-delivery-worker-prod.5ac0637cfd0766c97916cefa3764fbdf.r2.cloudflarestorage.com/model/2580965/amateurphotoV35.HAvj.safetensors?X-Amz-Expires=86400&response-content-disposition=attachment%3B%20filename%3D%22amateurphoto-v3.5-000052.safetensors%22&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=e01358d793ad6966166af8b3064953ad/20240908/us-east-1/s3/aws4_request&X-Amz-Date=20240908T054946Z&X-Amz-SignedHeaders=host&X-Amz-Signature=20c82ac7b7c2c1294b286b58354b1a21a08e2df063f346c495393ee49e71139a""},""name"":""Amateur Photography v3.5 [dev]"",""prefix"":"""",""is_lo_ha"":false,""version"":""flux1"",""file"":""amateur_photography_v3.5__dev__lora_f16.ckpt"",""converted"":{""amateur_photography_v3.5__dev__lora_f16.ckpt"":""4ce339f6463e73569e11c70581f397ce1f21a17ccb561549113d83ed09ee6428""}}"
129,lora,v1,Analog Diffusion v1.0,analog_diffusion_v1_lora_f16.ckpt,"","","","","","{""name"":""Analog Diffusion v1.0"",""file"":""analog_diffusion_v1_lora_f16.ckpt"",""prefix"":""analog "",""version"":""v1"",""converted"":{""analog_diffusion_v1_lora_f16.ckpt"":""cf550a13b9a4f3f1f5831146f71321ec3c642cac91907f2b7f7bb465144a7c40""}}"
130,lora,v1,Anime LineArt Style v2.0,anime_lineart_style_v2.0_lora_f16.ckpt,"","","","","","{""name"":""Anime LineArt Style v2.0"",""file"":""anime_lineart_style_v2.0_lora_f16.ckpt"",""prefix"":"""",""version"":""v1"",""converted"":{""anime_lineart_style_v2.0_lora_f16.ckpt"":""49d7ee07de9827876cff0cd80b1c4d287a69b8c08c91d827df44d43d3cca4a83""}}"
131,lora,flux1,AntiBlur v1.0 [dev],antiblur_v1.0__dev__lora_f16.ckpt,https://huggingface.co/Shakker-Labs/FLUX.1-dev-LoRA-AntiBlur/resolve/main/FLUX-dev-lora-AntiBlur.safetensors,"","","","","{""download"":{""file"":""https://huggingface.co/Shakker-Labs/FLUX.1-dev-LoRA-AntiBlur/resolve/main/FLUX-dev-lora-AntiBlur.safetensors""},""name"":""AntiBlur v1.0 [dev]"",""prefix"":"""",""is_lo_ha"":false,""version"":""flux1"",""file"":""antiblur_v1.0__dev__lora_f16.ckpt"",""converted"":{""antiblur_v1.0__dev__lora_f16.ckpt"":""5a5eafceef5bacb0707613bdce35938c53e9d69a45b38d0727877998581cd457""}}"
132,lora,v1,Arcane Style,arcane_style_lora_f16.ckpt,"","","","","","{""version"":""v1"",""file"":""arcane_style_lora_f16.ckpt"",""prefix"":""arcane style "",""name"":""Arcane Style"",""converted"":{""arcane_style_lora_f16.ckpt"":""d02a3f195b756c00d35f693cdea9f8ff19f6cb498469997504363214826983b7""}}"
133,lora,flux1,Boring Reality v2 [dev],boring_reality_v2_lora_f16.ckpt,"","","","","","{""name"":""Boring Reality v2 [dev]"",""prefix"":"""",""is_lo_ha"":false,""version"":""flux1"",""file"":""boring_reality_v2_lora_f16.ckpt"",""converted"":{""boring_reality_v2_lora_f16.ckpt"":""6258bba4712748de355e8b3269014bd2a957f3232fa17456bdfd2c84a8124599""}}"
134,lora,sdxl_base_v0.9,CCXL-Mucha Art Style,ccxl_mucha_art_style_lora_f16.ckpt,https://civitai.com/api/download/models/211889,"","","","","{""download"":{""file"":""https://civitai.com/api/download/models/211889""},""name"":""CCXL-Mucha Art Style"",""file"":""ccxl_mucha_art_style_lora_f16.ckpt"",""prefix"":""ccxl-mucha "",""is_lo_ha"":false,""version"":""sdxl_base_v0.9"",""converted"":{""ccxl_mucha_art_style_lora_f16.ckpt"":""30bba3c8da62fb6c125ed788d45b61c353e3cd3d0fd551ed7942b5f989ac2533""}}"
135,lora,v1,Crazy Expressions,crazy_expressions_lora_f16.ckpt,"","","","","","{""version"":""v1"",""file"":""crazy_expressions_lora_f16.ckpt"",""prefix"":""crazy face "",""name"":""Crazy Expressions"",""converted"":{""crazy_expressions_lora_f16.ckpt"":""ec6866a9b4707f2b41d866221f4bdcaf1cafd9835fe3b1ce1c38abea255bd2b3""}}"
136,lora,v1,Cyberpunk 2077 Nightcity v1.15,cyberpunk_2007_concept_art_nightcity_v1.15_lora_f16.ckpt,"","","","","","{""name"":""Cyberpunk 2077 Nightcity v1.15"",""file"":""cyberpunk_2007_concept_art_nightcity_v1.15_lora_f16.ckpt"",""prefix"":"""",""version"":""v1"",""converted"":{""cyberpunk_2007_concept_art_nightcity_v1.15_lora_f16.ckpt"":""b990e92854c0a2516cdba6191a456f18c32ef53b883cc81689dbe725c5a28abf""}}"
137,lora,sdxl_base_v0.9,DMD2 SDXL 4-Step,dmd2_sdxl_4_step_lora_f16.ckpt,https://huggingface.co/tianweiy/DMD2/resolve/main/dmd2_sdxl_4step_lora.safetensors,"","","","","{""download"":{""file"":""https://huggingface.co/tianweiy/DMD2/resolve/main/dmd2_sdxl_4step_lora.safetensors""},""name"":""DMD2 SDXL 4-Step"",""prefix"":"""",""is_lo_ha"":false,""version"":""sdxl_base_v0.9"",""file"":""dmd2_sdxl_4_step_lora_f16.ckpt"",""weight"":{""value"":1,""lower_bound"":-1.5,""upper_bound"":2.5},""converted"":{""dmd2_sdxl_4_step_lora_f16.ckpt"":""c0f94decf2a417fd1f4e588b80e1d61aa36fecb19e7a6a13d50ca8f8d3321ce6""}}"
138,lora,v1,Epi Noise Offset v2,epi_noiseoffset_v2_lora_f16.ckpt,"","","","","","{""name"":""Epi Noise Offset v2"",""file"":""epi_noiseoffset_v2_lora_f16.ckpt"",""prefix"":"""",""version"":""v1"",""converted"":{""epi_noiseoffset_v2_lora_f16.ckpt"":""392cd181d644d0f28d083efb28846a23f8056b83900e727efb85514dee42444d""}}"
139,lora,sdxl_base_v0.9,Fix Hands Slider,fix_hands_slider_lora_f16.ckpt,https://civitai.com/api/download/models/268840,"","","","","{""download"":{""file"":""https://civitai.com/api/download/models/268840""},""name"":""Fix Hands Slider"",""prefix"":"""",""is_lo_ha"":false,""version"":""sdxl_base_v0.9"",""file"":""fix_hands_slider_lora_f16.ckpt"",""converted"":{""fix_hands_slider_lora_f16.ckpt"":""379124df5a568a2beefaa1e28be5bf904a0f502914c9c3da5ecef372ecbf6900""}}"
140,lora,sd3,Flash SD3,flash_sd3_lora_f16.ckpt,https://huggingface.co/jasperai/flash-sd3/resolve/main/adapter_model.safetensors,"","","","","{""download"":{""file"":""https://huggingface.co/jasperai/flash-sd3/resolve/main/adapter_model.safetensors""},""name"":""Flash SD3"",""prefix"":"""",""is_lo_ha"":false,""version"":""sd3"",""file"":""flash_sd3_lora_f16.ckpt"",""weight"":{""value"":1,""lower_bound"":-1.5,""upper_bound"":2.5},""converted"":{""flash_sd3_lora_f16.ckpt"":""cdbb88c24c9d5d66efc77b592e21c7b5a589e8786281d28a43af9a35acc95cdc""}}"
141,lora,flux1,FLUX.1 Canny [dev],flux_1_canny_dev_lora_f16.ckpt,"","","","","","{""name"":""FLUX.1 Canny [dev]"",""prefix"":"""",""is_lo_ha"":false,""version"":""flux1"",""file"":""flux_1_canny_dev_lora_f16.ckpt"",""modifier"":""canny"",""weight"":{""value"":1,""lower_bound"":-1.5,""upper_bound"":2.5},""converted"":{""flux_1_canny_dev_lora_f16.ckpt"":""41be41e0d422b76a2d10437f65ad12b2d6d556126646cc308c0db6851f63eaf3""}}"
